"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1325,0.0727487153246078,0.07769134476673,0.0819045693720078,0.105650670340683,0.0507929741234484,0.05293010959758,0.0890920796508706,0.1523074291196,0.121764463852799,0.235677872299001
"ehs-full","abc","FALSE",1325,0.0678743767326857,0.060401432573419,0.0601524791496496,0.0756069555405253,0.0517876714621708,0.0548466979639185,0.0892952037049214,0.190211257157901,0.272755769957557,0.397157947207371
"ehs-full","abc","TRUE",354,0.165938706473565,0.170054871059821,0.173346943847242,0.129419387089174,0.088571872887448,0.0951100163466426,0.108075863517304,0.061833594934983,0.0683649071002404,0.231116987976872
"ehsmixed_center","abc","FALSE",777,0.136287388653161,0.125455920364398,0.130139817568943,0.197677831073913,0.0672853832862832,0.0702737783222434,0.0926264380735109,0.0431610182374122,0.0640405773948415,0.0328312830756945
"ehsmixed_center","abc","FALSE",777,0.13382232546759,0.121892327415687,0.119880131249104,0.176036700594443,0.0689650387873049,0.0737861973351059,0.0996842659951016,0.0526898748132319,0.104227374415266,0.0774054645921131
"ehsmixed_center","abc","TRUE",242,0.257251152404854,0.256790453717485,0.257598319050709,0.317596172375142,0.100807911439334,0.110410234451731,0.107839014755929,0.0113401966652724,0.0196428019212802,0.00322855233220849
"ehscenter","abc","FALSE",373,0.177418224526784,0.174470590859171,0.178025640089415,0.269369554613267,0.0944512747994203,0.098425029941753,0.109045133447766,0.0611285843506025,0.070490850613521,0.0135015839711405
"ehscenter","abc","FALSE",373,0.179679517189109,0.17520714485823,0.163191197163287,0.241900035664175,0.0953087221360139,0.102735779639823,0.126527256230261,0.0601833313449831,0.112183413527725,0.0558965510142516
"ehscenter","abc","TRUE",109,0.520193951891325,0.499943710313083,0.505852513887112,0.499996359935104,0.142327087969758,0.149383386328493,0.138347457408018,0.000403617681636891,0.000708495794122046,0.000301436329153673
"abc","abc","FALSE",103,1.04173577937913,1.00484873258158,1.00730683631546,1.00481277201319,0.182870194651254,0.18173579184464,0.157446646422212,1.45478941290774e-07,2.9784418847809e-08,1.74875009012432e-10
"abc","abc","FALSE",103,0.968003397201768,0.99904614383276,0.997969902256986,0.999013005235043,0.17359953444747,0.186345179351327,0.167162605630272,2.13549824861587e-07,8.53244667308212e-08,2.2826980987408e-09
"abc","abc","TRUE",98,0.940781643911623,0.949588775725689,0.951238177027899,0.949576147003787,0.178051044054704,0.19288829929779,0.172542350754338,8.1654634762433e-07,8.15799295095315e-07,3.72455339421292e-08
