"participation","program","subsample","method","covariates","N","forest_prediction_mean","forest_ate_estimate","forest_ate_se","forest_ate_p_value","forest_abc_estimate","forest_abc_se","forest_abc_p_value"
"12m","ehs-full",FALSE,"ITT","all",1267,0.0823662283728366,0.0846347376899369,0.0545337771659199,0.120669614641298,0.0633612714510086,0.0692787815035583,0.308
"12m","ehs-full",FALSE,"ITT","short",1267,0.0668014037633471,0.0612332027276075,0.0567681479986786,0.280741898401147,0.0740509048157302,0.0833224910446946,0.341
"12m","ehs-full",TRUE,"ITT","short",348,0.145095158260992,0.142143045984507,0.0948775369695838,0.13408808472577,0.113979592013846,0.101706075205562,0.221
"12m","ehs-full",FALSE,"LATE","all",1267,0.1703703346346,0.155120531225109,0.142683498904144,0.276963817896352,0.184161496759188,0.148195166101989,0.174
"12m","ehs-full",FALSE,"LATE","short",1267,0.202771774085336,0.208377876293934,0.155971175437086,0.181548464588985,0.265894647097243,0.184194945006801,0.103
"12m","ehs-full",TRUE,"LATE","short",348,0.269997246780168,0.167940698319836,0.2937754665597,0.567549996995655,0.35591293402731,0.244598466324531,0.168
"12m","ehsmixed_center",FALSE,"ITT","all",768,0.118962248997119,0.114704203450888,0.0707242392987123,0.104835179029323,0.131986888222555,0.0784424244534419,0.06
"12m","ehsmixed_center",FALSE,"ITT","short",768,0.111166197101022,0.105302379935409,0.0749787799853407,0.160191112748152,0.121279780565342,0.0924557610337191,0.156
"12m","ehsmixed_center",TRUE,"ITT","short",245,0.239237847524165,0.233273128610419,0.110067499924899,0.0340596924341781,0.293847170932859,0.103010339939361,0.004
"12m","ehsmixed_center",FALSE,"LATE","all",768,0.283634824792199,0.295207112452617,0.137293496359955,0.0315401833563492,0.339894714055658,0.138991315748461,0.018
"12m","ehsmixed_center",FALSE,"LATE","short",768,0.33429204660485,0.33517618277975,0.145499146627838,0.0212434286375216,0.372359356934389,0.17350906920282,0.035
"12m","ehsmixed_center",TRUE,"LATE","short",245,0.639462021649704,0.604169519709281,0.247143483791352,0.0145008710355107,0.672106131461154,0.203716951433892,0.004
"12m","ehscenter",FALSE,"ITT","all",375,0.178506109141403,0.185311473899061,0.0982951166865224,0.0593952623706098,0.218247171104653,0.100400035691561,0.01
"12m","ehscenter",FALSE,"ITT","short",375,0.186490508845159,0.177347698814823,0.104096025701242,0.0884384054015781,0.223764309498135,0.118827157840107,0.031
"12m","ehscenter",TRUE,"ITT","short",110,0.511266525715051,0.518965999554027,0.146180167518838,0.000384966911510635,0.534525496431321,0.129396186302641,0.001
"12m","ehscenter",FALSE,"LATE","all",375,0.578088211808311,0.615558888273606,0.156572107779583,8.44272620451231e-05,0.65186012961966,0.180655769511469,0.001
"12m","ehscenter",FALSE,"LATE","short",375,0.624014551524422,0.625089064347653,0.165180437208499,0.000154154050059694,0.711261242644573,0.217707845788681,0.001
"12m","ehscenter",TRUE,"LATE","short",110,1.29707713589819,1.24193916635151,0.346539617426195,0.000338592170668167,1.33489459944352,0.330570021666231,0.001
"12m","abc",FALSE,"ITT","all",103,0.99502659341006,0.991965820186302,0.183782406873682,6.75753020482681e-08,1.00021539972208,0.156704716400393,0.001
"12m","abc",FALSE,"ITT","short",103,0.995749857165698,0.997903797926822,0.188326310416652,1.16565063000878e-07,1.01503825228822,0.162540545366226,0.001
"12m","abc",TRUE,"ITT","short",98,0.949169795138676,0.94788767006204,0.193341406703996,9.45463311674959e-07,0.970939714081569,0.17389933774732,0.001
"12m","abc",FALSE,"LATE","all",103,1.20180006215145,1.18908245958191,0.212867298837084,2.32323252008213e-08,1.20515240506173,0.182411191868489,0.001
"12m","abc",FALSE,"LATE","short",103,1.20812123433536,1.20573425274766,0.217951100813683,3.16361730185009e-08,1.21221057778361,0.18926924514414,0.001
"12m","abc",TRUE,"LATE","short",98,1.15373321656464,1.15192815883487,0.222351247189995,2.21091804109866e-07,1.16750564712389,0.204535047159704,0.001
