"participation","program","subsample","method","covariates","estimate","se","p_value"
"1m","ehs-full",FALSE,"ITT","all",0.0854989433414692,0.0529848329394907,0.106603497403492
"1m","ehs-full",FALSE,"ITT","short",0.0745570514167485,0.0538164693865423,0.165931810979949
"1m","ehs-full",FALSE,"LATE","all",0.334719387531941,0.203406535460654,0.0998526288094137
"1m","ehs-full",FALSE,"LATE","short",0.167176513109512,0.20113878691095,0.40588886758125
"1m","ehs-full",TRUE,"ITT","all",0.145264184136814,0.090921070507946,0.110110763360822
"1m","ehs-full",TRUE,"ITT","short",0.14390341703142,0.0909333392492664,0.113531941223878
"1m","ehs-full",TRUE,"LATE","all",0.497555638504666,0.379357065013557,0.189663220427857
"1m","ehs-full",TRUE,"LATE","short",0.50038402740071,0.358044099037641,0.162248664298877
"1m","ehsmixed_center",FALSE,"ITT","all",0.13218220363829,0.0668646406219087,0.0480571695489935
"1m","ehsmixed_center",FALSE,"ITT","short",0.128265615740339,0.0690987105563839,0.06341559363451
"1m","ehsmixed_center",FALSE,"LATE","all",0.266599796912632,0.15212649552408,0.0796900003591687
"1m","ehsmixed_center",FALSE,"LATE","short",0.249822717477582,0.157945256868227,0.113717053721553
"1m","ehsmixed_center",TRUE,"ITT","all",0.211424758982801,0.104159772700858,0.0423756503397328
"1m","ehsmixed_center",TRUE,"ITT","short",0.245893299946203,0.100279905304757,0.0142037214626809
"1m","ehsmixed_center",TRUE,"LATE","all",0.570951590813739,0.287132853270718,0.0467610705584103
"1m","ehsmixed_center",TRUE,"LATE","short",0.562505715768174,0.294890789176726,0.0564551974415426
"1m","ehscenter",FALSE,"ITT","all",0.174883897715355,0.0969570698097102,0.0712744170894728
"1m","ehscenter",FALSE,"ITT","short",0.1870432691765,0.0951226594499128,0.0492596174062843
"1m","ehscenter",FALSE,"LATE","all",0.260046549875567,0.163273569919375,0.111226497114481
"1m","ehscenter",FALSE,"LATE","short",0.308179306285225,0.167556419965738,0.0658774049868625
"1m","ehscenter",TRUE,"ITT","all",0.467103013085381,0.18509106934066,0.01161471830547
"1m","ehscenter",TRUE,"ITT","short",0.519473860523595,0.149168329656506,0.000496815516506821
"1m","ehscenter",TRUE,"LATE","all",1.27328934768105,0.432948956120674,0.00327187546686414
"1m","ehscenter",TRUE,"LATE","short",1.38719891929082,0.458178271267944,0.00246471413031246
"1m","abc",FALSE,"ITT","all",1.08702862732697,0.203999660950424,9.89832920073042e-08
"1m","abc",FALSE,"ITT","short",0.989175194341828,0.177503596182134,2.50813949609352e-08
"1m","abc",FALSE,"LATE","all",1.15142094884686,0.204151245391796,1.70011831279737e-08
"1m","abc",FALSE,"LATE","short",1.15935417955571,0.208724687377259,2.78461704805721e-08
"1m","abc",TRUE,"ITT","all",0.952410559918944,0.220117947558568,1.51278039961511e-05
"1m","abc",TRUE,"ITT","short",0.988084278321202,0.189843641073619,1.94282259835532e-07
"1m","abc",TRUE,"LATE","all",1.05503904599334,0.224225322213076,2.53539257277779e-06
"1m","abc",TRUE,"LATE","short",1.09108604214119,0.221725502949778,8.61530684570511e-07
