"participation","program","subsample","method","covariates","estimate","se","p_value"
"any","ehs-full",FALSE,"ITT","all",0.0854989433414692,0.0529848329394907,0.106603497403492
"any","ehs-full",FALSE,"ITT","short",0.0745570514167485,0.0538164693865423,0.165931810979949
"any","ehs-full",FALSE,"LATE","all",0.326578956595895,0.198687619312981,0.100242225176937
"any","ehs-full",FALSE,"LATE","short",0.166057112466223,0.199975869321097,0.406320719106509
"any","ehs-full",TRUE,"ITT","all",0.145264184136814,0.090921070507946,0.110110763360822
"any","ehs-full",TRUE,"ITT","short",0.14390341703142,0.0909333392492664,0.113531941223878
"any","ehs-full",TRUE,"LATE","all",0.520297507122032,0.399442748285831,0.192725567859616
"any","ehs-full",TRUE,"LATE","short",0.531781998443123,0.383554887121849,0.165607687888837
"any","ehsmixed_center",FALSE,"ITT","all",0.13218220363829,0.0668646406219087,0.0480571695489935
"any","ehsmixed_center",FALSE,"ITT","short",0.128265615740339,0.0690987105563839,0.06341559363451
"any","ehsmixed_center",FALSE,"LATE","all",0.259945943523036,0.148526718977415,0.080090219837861
"any","ehsmixed_center",FALSE,"LATE","short",0.243976055274363,0.154492500028847,0.11428796482039
"any","ehsmixed_center",TRUE,"ITT","all",0.211424758982801,0.104159772700858,0.0423756503397328
"any","ehsmixed_center",TRUE,"ITT","short",0.245893299946203,0.100279905304757,0.0142037214626809
"any","ehsmixed_center",TRUE,"LATE","all",0.596307109215875,0.302867488192647,0.0489678705075944
"any","ehsmixed_center",TRUE,"LATE","short",0.582732248829455,0.307834591117038,0.0583572785563666
"any","ehscenter",FALSE,"ITT","all",0.174883897715355,0.0969570698097102,0.0712744170894728
"any","ehscenter",FALSE,"ITT","short",0.1870432691765,0.0951226594499128,0.0492596174062843
"any","ehscenter",FALSE,"LATE","all",0.265260267181442,0.167278225429156,0.112797631188926
"any","ehscenter",FALSE,"LATE","short",0.312882916489704,0.171181127264145,0.0675812816924304
"any","ehscenter",TRUE,"ITT","all",0.467103013085381,0.18509106934066,0.01161471830547
"any","ehscenter",TRUE,"ITT","short",0.519473860523595,0.149168329656506,0.000496815516506821
"any","ehscenter",TRUE,"LATE","all",1.43550483687287,0.520610679007404,0.00582722906822819
"any","ehscenter",TRUE,"LATE","short",1.53319859547714,0.553567270546258,0.00561131337116505
"any","abc",FALSE,"ITT","all",1.08702862732697,0.203999660950424,9.89832920073042e-08
"any","abc",FALSE,"ITT","short",0.989175194341828,0.177503596182134,2.50813949609352e-08
"any","abc",FALSE,"LATE","all",1.15142094884686,0.204151245391796,1.70011831279737e-08
"any","abc",FALSE,"LATE","short",1.15935417955571,0.208724687377259,2.78461704805721e-08
"any","abc",TRUE,"ITT","all",0.952410559918944,0.220117947558568,1.51278039961511e-05
"any","abc",TRUE,"ITT","short",0.988084278321202,0.189843641073619,1.94282259835532e-07
"any","abc",TRUE,"LATE","all",1.05503904599334,0.224225322213076,2.53539257277779e-06
"any","abc",TRUE,"LATE","short",1.09108604214119,0.221725502949778,8.61530684570511e-07
