"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1326,0.274964635217915,0.161840161718819,0.157710776855426,0.213360251827225,0.2239273366127,0.146622149393167,0.157776273746304,0.219695618794038,0.28209400288654,0.176280586861998
"ehs-full","abc","FALSE",1326,0.274964635217915,0.189187317721922,0.223290820987948,0.219037620597937,0.2239273366127,0.154653472393254,0.160383223011672,0.219695618794038,0.148791353035446,0.172028733565827
"ehs-full","abc","TRUE",354,0.657243583563367,0.283259132865966,0.149620850817037,0.283248054474882,0.383031477442814,0.306081374438724,0.240999146874853,0.0870602922733063,0.624964156083938,0.23987179857268
"ehsmixed_center","abc","FALSE",778,0.309561137391581,0.314749288580052,0.318415153716039,0.565274899581906,0.172734748676017,0.13970405664359,0.179251035172952,0.0735034593883462,0.0226544697790054,0.00161304384729482
"ehsmixed_center","abc","FALSE",778,0.309561137391581,0.311829024834239,0.342527098718875,0.293862140877147,0.172734748676017,0.143777721243886,0.148737430347468,0.0735034593883462,0.0172031091454544,0.0481875460702771
"ehsmixed_center","abc","TRUE",242,0.665995342182276,0.640837695926096,0.575110924198534,0.640828891240366,0.292258984113772,0.251641879517391,0.225537793409234,0.023559039538023,0.0222873883453243,0.0044924802366357
"ehscenter","abc","FALSE",373,0.303451907696851,0.596531261355762,0.609852340130955,1.03366344141151,0.165303415316265,0.15838691051907,0.280742335910625,0.0671982611796193,0.000117926957309057,0.000231507930332694
"ehscenter","abc","FALSE",373,0.303451907696851,0.573637305504696,0.576194398899148,0.557617732339227,0.165303415316265,0.165774804751758,0.18765408683983,0.0671982611796193,0.000509396899751489,0.00296330291466511
"ehscenter","abc","TRUE",109,1.04830564294385,1.27461584226788,1.19771968042328,1.2742791109184,0.328699229746889,0.337041180590182,0.337660162243472,0.00187142444101188,0.000379953230169215,0.00016074684652876
"abc","abc","FALSE",103,1.1008203404528,1.18838636884678,1.19461266069859,1.18826746806382,0.202109551167638,0.211413410131476,0.182915723919612,3.62515245713322e-07,1.59888559001814e-08,8.23431965697457e-11
"abc","abc","FALSE",103,1.1008203404528,1.21315920652833,1.21680389581405,1.21304778659481,0.202109551167638,0.215539144217097,0.198561824035459,3.62515245713322e-07,1.64801144896217e-08,1.00151086413291e-09
"abc","abc","TRUE",98,1.06183275118708,1.15839161855483,1.15081608835951,1.15840163768898,0.204517181306776,0.225537847033701,0.198548023783863,1.16333752527623e-06,3.35123294991031e-07,5.39958100754992e-09
