"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1267,0.264155472814874,0.173316844634764,0.180757946969439,0.216803513838902,0.206160608225093,0.1416332010041,0.13291968119766,0.200319925786121,0.201870716380021,0.0930000000000001
"ehs-full","abc","FALSE",1267,0.264155472814874,0.188195755361765,0.187740169511437,0.225830081601424,0.206160608225093,0.151235986117625,0.147061235354323,0.200319925786121,0.214468233435244,0.116
"ehs-full","abc","TRUE",348,0.564190950616778,0.295349153075684,0.278652737865224,0.325868962963455,0.372134046086247,0.318713367048329,0.289380550949471,0.130408113825937,0.381952096007573,0.205
"ehsmixed_center","abc","FALSE",768,0.272519530096096,0.298820183251081,0.300589633008162,0.427500679708004,0.160956997327058,0.137166754372386,0.140953346547589,0.0908392010852346,0.0284215901380314,0.0040000000000001
"ehsmixed_center","abc","FALSE",768,0.272519530096096,0.280305209610553,0.285219275928539,0.30587387680771,0.160956997327058,0.143018341601707,0.139290082229126,0.0908392010852346,0.0461209614292048,0.0210000000000001
"ehsmixed_center","abc","TRUE",245,0.644575804318378,0.70831501539922,0.68152078490112,0.713885241529345,0.290573851282199,0.276177226386113,0.236070291317489,0.0274603246571331,0.0135986648663111,0.0080000000000001
"ehscenter","abc","FALSE",375,0.320606596344443,0.583473098138108,0.626401853664893,0.832500605230859,0.170769459492194,0.165766914985713,0.234261050546877,0.0612402507361908,0.000157578918487819,1e-16
"ehscenter","abc","FALSE",375,0.320606596344443,0.601780287770109,0.572316196707978,0.608989206477087,0.170769459492194,0.174512678871183,0.168088617145435,0.0612402507361908,0.00103987268761584,1e-16
"ehscenter","abc","TRUE",110,1.34293108196196,1.59864325338929,1.33536523246025,1.56475794177095,0.433664332929175,0.443683860110906,0.489328627598769,0.00249351144495905,0.0026148660024188,1e-16
"abc","abc","FALSE",103,1.1008203404528,1.19069689541253,1.1935321296687,1.19194341000393,0.202109551167638,0.211242621902391,0.185044697323465,3.62515245713322e-07,1.60397845087323e-08,1e-16
"abc","abc","FALSE",103,1.1008203404528,1.21695308046888,1.21488242273885,1.21698944804904,0.202109551167638,0.215380489311461,0.195443172764619,3.62515245713322e-07,1.69425558457461e-08,1e-16
"abc","abc","TRUE",98,1.06183275118708,1.17366036899442,1.14908058005749,1.17094136740444,0.204517181306776,0.225744856948424,0.198152209171177,1.16333752527623e-06,3.57735277273127e-07,1e-16
