"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1267,0.092032020499603,0.12848556644305,0.13517275094299,0.141994789865214,0.0716780677000512,0.0693433029702447,0.0848984421968607,0.199389852783044,0.0512564236995519,0.0670000000000001
"ehs-full","abc","FALSE",1267,0.092032020499603,0.0996112211743914,0.0946155477818206,0.0682614670098053,0.0716780677000512,0.0729047212333458,0.0824785183934074,0.199389852783044,0.19435700990737,0.34
"ehs-full","abc","TRUE",348,0.218063283664446,0.327251229550543,0.322383123456045,0.300828580560111,0.139785541041276,0.144198380852902,0.145070609199986,0.119677697015439,0.0253719729943021,0.0440000000000001
"ehsmixed_center","abc","FALSE",768,0.17189478724907,0.204445273661969,0.226895776844976,0.273886269694911,0.101826108358033,0.0988773543019284,0.110787100190149,0.0917950580740102,0.0217492139295873,0.0140000000000001
"ehsmixed_center","abc","FALSE",768,0.17189478724907,0.203399314910286,0.198065497692204,0.198654105879043,0.101826108358033,0.10482049115052,0.111858951078073,0.0917950580740102,0.0588156940588079,0.0760000000000001
"ehsmixed_center","abc","TRUE",245,0.406970495852274,0.540577470911364,0.521626686082808,0.558640601467362,0.181181353716939,0.187637770176162,0.183043927354794,0.0255897901137309,0.00543645324068866,0.0030000000000001
"ehscenter","abc","FALSE",375,0.29664618829492,0.262970244290559,0.295908616446547,0.424398445986216,0.16129513821753,0.160962201730017,0.201196057677473,0.0666875842835513,0.06600741443975,0.0300000000000001
"ehscenter","abc","FALSE",375,0.29664618829492,0.273793640828249,0.250711333849836,0.269999708711497,0.16129513821753,0.175308539492424,0.178546056876608,0.0666875842835513,0.152684078116891,0.149
"ehscenter","abc","TRUE",110,1.21380309331177,1.11061898907694,1.03351363968643,1.1009480310655,0.41851230117461,0.363159757879699,0.408120116492525,0.00451795640068188,0.00442871396800335,0.0030000000000001
"abc","abc","FALSE",103,1.1008203404528,1.19069689541253,1.1935321296687,1.19194341000393,0.202109551167638,0.211242621902391,0.180491274438324,3.62515245713322e-07,1.60397845087323e-08,1e-16
"abc","abc","FALSE",103,1.1008203404528,1.21695308046888,1.21488242273885,1.21698944804904,0.202109551167638,0.215380489311461,0.196555890963316,3.62515245713322e-07,1.69425558457461e-08,1e-16
"abc","abc","TRUE",98,1.06183275118708,1.17366036899442,1.14908058005749,1.17094136740444,0.204517181306776,0.225744856948424,0.210806716409726,1.16333752527623e-06,3.57735277273127e-07,1e-16
