"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1266,0.331859807927384,0.232856866343063,0.21791516293691,0.320088239269391,0.260441240143515,0.152673337060863,0.208936727954364,0.202819173402122,0.153484931710666,0.125525774803707
"ehs-full","abc","FALSE",1266,0.331859807927384,0.285973097821832,0.304982602587974,0.286497625367232,0.260441240143515,0.16024573841076,0.15652175970915,0.202819173402122,0.057012081911205,0.0671899602288119
"ehs-full","abc","TRUE",348,0.709369405168379,0.584669912590762,0.439979168038673,0.584650503270152,0.464952808345285,0.295949511289556,0.272265566675956,0.128003004175854,0.137102071894688,0.0317651245517195
"ehsmixed_center","abc","FALSE",767,0.339862495648804,0.384919071333445,0.372600648772982,0.679900120310066,0.201398863053278,0.149295776882259,0.218517402257655,0.0919130552828398,0.0125701323533057,0.00186187882226268
"ehsmixed_center","abc","FALSE",767,0.339862495648804,0.402140489374399,0.414855757946344,0.428915050073186,0.201398863053278,0.152077396689585,0.17379970165636,0.0919130552828398,0.00637340645596207,0.0135919714488035
"ehsmixed_center","abc","TRUE",245,0.793046357145036,0.949399625427118,0.867768876111872,0.949419775834772,0.35483245195565,0.262015025581973,0.234231412632287,0.0263275343998703,0.000926630031289095,5.04913324895252e-05
"ehscenter","abc","FALSE",375,0.338251342850807,0.626879971242365,0.657716023879388,1.05076856109864,0.180192189854287,0.16970669481382,0.278619033427159,0.061275099304984,0.000106360336948089,0.000162369856093811
"ehscenter","abc","FALSE",375,0.338251342850807,0.659387099372305,0.669050488958064,0.686421906526519,0.180192189854287,0.17694720159872,0.196599768654758,0.061275099304984,0.000156153155104191,0.000480373040403466
"ehscenter","abc","TRUE",110,1.31495335108775,1.5891402387586,1.43855811657781,1.58868866332744,0.408821399001857,0.397511386389659,0.427052580477289,0.00171288924023901,0.000295845964431003,0.000199124786644284
"abc","abc","FALSE",103,1.1008203404528,1.18838636884678,1.19461266069859,1.18826746806382,0.202109551167638,0.211413410131476,0.185161537648644,3.62515245713322e-07,1.59888559001814e-08,1.38563278699858e-10
"abc","abc","FALSE",103,1.1008203404528,1.21315920652833,1.21680389581405,1.21304778659481,0.202109551167638,0.215539144217097,0.198685069858332,3.62515245713322e-07,1.64801144896217e-08,1.0255659462654e-09
"abc","abc","TRUE",98,1.06183275118708,1.15839161855483,1.15081608835951,1.15840163768898,0.204517181306776,0.225537847033701,0.193296794254401,1.16333752527623e-06,3.35123294991031e-07,2.06175708353189e-09
