"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1267,0.072821824000276,0.0840876393281207,0.086433264826136,0.0710177086052784,0.05675244773858,0.0547617714449113,0.0554594553065803,0.199675044976955,0.114485129247403,0.196
"ehs-full","abc","FALSE",1267,0.072821824000276,0.0649831604427988,0.0647076086924924,0.0499698767791839,0.05675244773858,0.0567312067326985,0.0619663670089984,0.199675044976955,0.254036459142959,0.396
"ehs-full","abc","TRUE",348,0.142709759188846,0.146451368667803,0.147699572397477,0.133144861238271,0.0915193310191637,0.0957152237249624,0.0861433789137012,0.119830082928766,0.122802939410739,0.123
"ehsmixed_center","abc","FALSE",768,0.123288602841151,0.107545113148195,0.109683548663626,0.125746144543378,0.0732159896826093,0.0706054240707297,0.0650093077295633,0.092607887019363,0.120310415805448,0.0470000000000001
"ehsmixed_center","abc","FALSE",768,0.123288602841151,0.10555814173668,0.0984613211215821,0.107530831216149,0.0732159896826093,0.0751282520155348,0.0751106063662431,0.092607887019363,0.190000885062794,0.117
"ehsmixed_center","abc","TRUE",245,0.22690996530225,0.233997889436374,0.233536895651929,0.241421237394623,0.101160477791405,0.110489917909751,0.100502472262647,0.0257942025166222,0.0345452642807187,0.0170000000000001
"ehscenter","abc","FALSE",375,0.184036294371584,0.189633020976733,0.180270170824781,0.23999945964891,0.100167808288209,0.0984695430202519,0.0930538249600747,0.0669639369315216,0.0671423326385573,0.0160000000000001
"ehscenter","abc","FALSE",375,0.184036294371584,0.182037608908537,0.166744893957706,0.20443610254718,0.100167808288209,0.102810150884896,0.101545528889463,0.0669639369315216,0.104830781013846,0.0300000000000001
"ehscenter","abc","TRUE",110,0.478164854941001,0.50982260142382,0.522626438694195,0.511445500994754,0.14137008547576,0.146648593261805,0.143707136469359,0.00100177018422578,0.000365522771454729,1e-16
"abc","abc","FALSE",103,0.972460534716981,0.980512863502288,0.997810380973325,0.977040391356036,0.18055647982304,0.183369301310847,0.159322375234952,4.71566498481054e-07,5.28235574192792e-08,1e-16
"abc","abc","FALSE",103,0.972460534716981,0.993447677681326,0.992817065537566,0.989127259541435,0.18055647982304,0.185510872038655,0.168884248679282,4.71566498481054e-07,8.70836676529496e-08,1e-16
"abc","abc","TRUE",98,0.931758239166667,0.95771046429084,0.955492028496246,0.950441805155809,0.181592598815628,0.193089055768706,0.173832941649355,1.50032938128263e-06,7.48058247776906e-07,1e-16
