"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1267,0.264155472814874,0.168965258418186,0.184191617363649,0.199464923194933,0.206160608225093,0.13870827717971,0.125364647829002,0.20031992578612,0.184209010269038,0.0950000000000001
"ehs-full","abc","FALSE",1267,0.264155472814874,0.192403216651052,0.175631672212276,0.225181386836416,0.206160608225093,0.147321456814775,0.145029512737664,0.20031992578612,0.233196054819556,0.135
"ehs-full","abc","TRUE",348,0.564190950616777,0.288203470200821,0.22945009688392,0.322210320183434,0.372134046086248,0.32933824096362,0.267873321844557,0.130408113825939,0.485990284346035,0.207
"ehsmixed_center","abc","FALSE",768,0.272519530096104,0.280850790100899,0.285851691152458,0.419420605158152,0.160956997327059,0.134275754404886,0.137658535333224,0.0908392010852269,0.033267442238204,0.0050000000000001
"ehsmixed_center","abc","FALSE",768,0.272519530096104,0.289453648547109,0.291315997481438,0.297339981169177,0.160956997327059,0.140345211901137,0.138074907017635,0.0908392010852269,0.0379207556587432,0.0280000000000001
"ehsmixed_center","abc","TRUE",245,0.644575804318379,0.684015329588647,0.654440624029959,0.690145408449244,0.2905738512822,0.27697320998418,0.23387779689511,0.027460324657133,0.0181359842595636,0.0040000000000001
"ehscenter","abc","FALSE",375,0.320606596344439,0.598452159649505,0.635171155706184,0.854397806634345,0.170769459492193,0.164835866541709,0.233660632698832,0.0612402507361928,0.00011651014252487,1e-16
"ehscenter","abc","FALSE",375,0.320606596344439,0.58469522946324,0.547478783344054,0.580850927351209,0.170769459492193,0.170610898506233,0.173426212401234,0.0612402507361928,0.00133228965924992,1e-16
"ehscenter","abc","TRUE",110,1.34293108196196,1.5074963390879,1.31067513409282,1.48066936373464,0.433664332929175,0.415738562906806,0.465547348936206,0.00249351144495907,0.00161799732195009,1e-16
"abc","abc","FALSE",103,1.1008203404528,1.17428758428063,1.18295627591305,1.17273529333005,0.202109551167638,0.208057695041791,0.193605796514446,3.62515245713315e-07,1.30268247848524e-08,1e-16
"abc","abc","FALSE",103,1.1008203404528,1.19151856589078,1.19594434564462,1.18987144522294,0.202109551167638,0.212407281577453,0.193930942490705,3.62515245713315e-07,1.79760813321782e-08,1e-16
"abc","abc","TRUE",98,1.06183275118708,1.1635784125247,1.17144457115723,1.16042915860071,0.204517181306776,0.223125556757746,0.200922568495455,1.16333752527623e-06,1.51968271038155e-07,1e-16
