"program","sample","condition","N_ITT","ctrl_mean","ITT","ITT_se","ITT_p","N_LATE","takeup_T","takeup_C","LATE","LATE_se","LATE_p"
"EHS All","Full","Unconditional",2031,0.031965186291814,-0.0607308753681451,0.0444309615138724,0.171820818817954,2018,0.893058161350844,0.108193277310924,-0.0854273281586272,0.0568154565258186,0.132842800272258
"EHS All","Subsample","Unconditional",487,0.0795412595228602,-0.20319412159482,0.0885001288483207,0.0221029420766824,484,0.834008097165992,0.164556962025316,-0.30875597481621,0.132599444481283,0.0202990014850287
"EHS All","Full","Has IQ",1367,0.0594445183137997,-0.0939787792279112,0.0541004849160349,0.0825923956564712,1360,0.907586206896552,0.111811023622047,-0.121981676938382,0.0681520522150094,0.0737014127241157
"EHS All","Subsample","Has IQ",368,0.0647106323132498,-0.157982111635923,0.102672148171063,0.124740480652916,367,0.840425531914894,0.17877094972067,-0.236274430643267,0.154805718791764,0.127810104489643
"EHS All","Full","Has IQ + covariates",1218,0.0686802050219476,-0.110455380387907,0.0574142534619979,0.0546088434739703,1218,0.908809891808346,0.117338003502627,-0.139556921755431,0.072380136424678,0.0540739660682771
"EHS All","Subsample","Has IQ + covariates",341,0.077195449252121,-0.187422270246082,0.108262163036825,0.084327889761022,341,0.833333333333333,0.186335403726708,-0.289679860892347,0.166397145131049,0.0826093550107136
"EHS All","Full","No IQ",664,-0.0229078723564512,0.00635204670352146,0.0779233547097556,0.935055765065522,658,0.86217008797654,0.100946372239748,-0.00839474244983433,0.102889326067352,0.934997622192109
"EHS All","Subsample","No IQ",119,0.124033141151691,-0.344494477068836,0.175104302694819,0.0515074220262233,117,0.813559322033898,0.120689655172414,-0.527052978388744,0.261733221612927,0.0463753840821573
"EHS Center+Mixed","Full","Unconditional",1101,-0.0180009617408117,-0.0708232754418481,0.0593657707178754,0.233127449846842,1091,0.87260034904014,0.156370656370656,-0.110268897019876,0.0833518281150131,0.186135325163683
"EHS Center+Mixed","Subsample","Unconditional",332,0.0854978304606203,-0.209249624614977,0.107649993860835,0.0527698081071571,330,0.797619047619048,0.228395061728395,-0.379779248683057,0.189343948592411,0.045702355606811
"EHS Center+Mixed","Full","Has IQ",789,0.0163265097975493,-0.136095731551082,0.0712030822464133,0.0563194733267855,784,0.888349514563107,0.169354838709677,-0.194768430163592,0.0992748497691068,0.0501271641305799
"EHS Center+Mixed","Subsample","Has IQ",255,0.10735657466948,-0.215362837606324,0.124710853587501,0.0854066715000121,255,0.8,0.24,-0.384576495725579,0.220899221859909,0.0829064109066698
"EHS Center+Mixed","Full","Has IQ + covariates",733,0.02613217945369,-0.147927224906876,0.074450994069065,0.0473055415971338,733,0.89119170984456,0.172910662824208,-0.205946162049686,0.103351796187205,0.0466688588205328
"EHS Center+Mixed","Subsample","Has IQ + covariates",244,0.1320373725692,-0.251871858949769,0.12832740814686,0.0508233585930605,244,0.796875,0.241379310344828,-0.453418205830038,0.229235264641071,0.0490676090319492
"EHS Center+Mixed","Full","No IQ",312,-0.104625990589293,0.0942083707549192,0.106859897100225,0.378672721970864,307,0.832298136645963,0.123287671232877,0.108473813164833,0.151959896713784,0.475877053030747
"EHS Center+Mixed","Subsample","No IQ",77,0.0154377528681205,-0.193055838029756,0.21418172519106,0.370279934427461,75,0.789473684210526,0.189189189189189,-0.365843595742685,0.368667054478681,0.324308947841648
"EHS Center Only","Full","Unconditional",451,-0.0512320092221833,-0.0939268731739683,0.0911755629178148,0.303482014243432,449,0.809716599190283,0.202970297029703,-0.15542945028345,0.151049453759464,0.304037501036171
"EHS Center Only","Subsample","Unconditional",129,0.0472769725860821,-0.197784044535624,0.169973992453292,0.246762149065486,129,0.693333333333333,0.314814814814815,-0.522521448381785,0.45296186800879,0.250844464140885
"EHS Center Only","Full","Has IQ",378,0.00821384157615229,-0.156788683257007,0.100579438495798,0.119872149141919,376,0.829493087557604,0.226415094339623,-0.262019837922707,0.167679538353976,0.118987116710947
"EHS Center Only","Subsample","Has IQ",113,0.0857359621911606,-0.252749175384825,0.179799972549329,0.162598987117594,113,0.712121212121212,0.319148936170213,-0.643173045154822,0.462508065484399,0.167122386025123
"EHS Center Only","Full","Has IQ + covariates",363,0.0191699252741423,-0.16804368067936,0.103981460577718,0.106947797881006,363,0.839622641509434,0.225165562913907,-0.273483187895662,0.169299938929914,0.107102718995795
"EHS Center Only","Subsample","Has IQ + covariates",109,0.154358640399783,-0.321371853593448,0.184272251389235,0.0840299591326015,109,0.712121212121212,0.325581395348837,-0.831406855513406,0.494909454959435,0.0958909678383396
"EHS Center Only","Full","No IQ",73,-0.273808334304323,0.153358224067519,0.223613339943053,0.495060791887209,73,0.666666666666667,0.116279069767442,0.278636773305775,0.402229633665873,0.490738316648623
"EHS Center Only","Subsample","No IQ",16,-0.21094767190516,0.181485635745856,0.538786970950312,0.741232863587697,16,0.555555555555556,0.285714285714286,0.67256441482288,2.03290234813114,0.745665229385125
