"sample","group","m_edu_hs_or_above","above_poverty","black","N","ITT","ITT_se","ITT_p","LATE","LATE_se","LATE_p"
"EHS All","",NA,NA,NA,1267,0.0728218240002761,0.0567524477385793,0.199675044976949,0.0920320204996028,0.0716780677000506,0.199389852783042
"EHS All","",NA,NA,1,471,0.175760687312145,0.0815889022931161,0.0317313806011562,0.256234323134411,0.118617645191028,0.0312653862597844
"EHS All","",NA,NA,0,789,0.0306816414381838,0.0751905678425399,0.683346682536263,0.0358122227820586,0.0877591422291002,0.683330353283662
"EHS All","",NA,1,NA,145,0.189005323469739,0.17896698794801,0.292707828462866,0.229838985894237,0.217279144278613,0.291927946033481
"EHS All","",NA,0,NA,1122,0.0565776335072825,0.059804649743884,0.344331872890753,0.0719209924155612,0.07598698483826,0.344102397053303
"EHS All","",1,NA,NA,748,0.0977329255174011,0.0728943368220543,0.18041044578984,0.117977651454959,0.0879450955015411,0.180168954349229
"EHS All","",0,NA,NA,519,0.0116467109887214,0.0859267475790583,0.892235860297556,0.0158483457138121,0.11692657695734,0.892236902158761
"EHS All","",NA,1,1,45,0.172839541266527,0.321112137986574,0.593177888279112,0.272422588221414,0.502650934379312,0.590635638951552
"EHS All","",NA,1,0,99,0.20310595678569,0.220818503643904,0.359965880697249,0.227143267267667,0.246942137416435,0.359946642881437
"EHS All","",NA,0,1,426,0.167656035555084,0.0837209830892759,0.0458611251702937,0.243631425531014,0.121463159204617,0.0455118582394769
"EHS All","",NA,0,0,690,0.00630833405521972,0.0800159134048466,0.937184010148739,0.00741118617233232,0.0940033751619865,0.93718314987511
"EHS All","",1,NA,1,257,0.207451879854568,0.113630315259078,0.0690689443270346,0.283390799801333,0.155000933021228,0.0686702173881819
"EHS All","",1,NA,0,488,0.068419054809737,0.0914217070992092,0.454587203706249,0.0779475023301242,0.10413827716379,0.454520686042047
"EHS All","",0,NA,1,214,0.108839175453815,0.114796655989722,0.344155962606265,0.173768788292623,0.18280504273074,0.342905678461002
"EHS All","",0,NA,0,301,-0.043386417590351,0.122663975276159,0.723811957326457,-0.05282819069548,0.149262571673283,0.723642352433296
"EHS All","",1,1,NA,105,0.366722625524749,0.228360980014334,0.111359717995986,0.434332527609498,0.271542402893672,0.11277225041842
"EHS All","",1,0,NA,643,0.0546842657787403,0.0763336569886236,0.47401473716184,0.0662965656722362,0.0924932753410619,0.473776029672658
"EHS All","",0,1,NA,40,-0.38194315410718,0.22793060874788,0.102007763704401,-0.50798439496255,0.32182319430603,0.122749833380482
"EHS All","",0,0,NA,479,0.0453596225198813,0.0910875378364632,0.618728800764289,0.0618043062175993,0.124157562538798,0.61886196233888
"EHS All","",1,1,1,29,0.63833602736978,0.426548052469704,0.146118419610735,0.923549997045639,0.646804678926872,0.164795944990339
"EHS All","",1,1,0,75,0.254242162840415,0.277269667566053,0.362188783934502,0.282491292044906,0.307674761775699,0.361564516165354
"EHS All","",1,0,1,228,0.151000155493459,0.115621713905549,0.192885570113414,0.204958659811066,0.156451065597686,0.191509038682943
"EHS All","",1,0,0,413,0.0441479664164308,0.0960674198190917,0.646080861049549,0.0505758306012149,0.110046239919724,0.646055630513581
"EHS All","",0,1,1,16,-0.659107864625879,0.376300212150942,0.101718230107463,-1.29467616265798,1.10273734418312,0.259958055511968
"EHS All","",0,1,0,24,-0.257098803762347,0.32590426410347,0.43860233299347,-0.316429296938273,0.394819607503475,0.431441209094883
"EHS All","",0,0,1,198,0.154285525618885,0.12013354985753,0.200558752386818,0.246253770531773,0.192125668512529,0.201450536771367
"EHS All","",0,0,0,277,-0.0278593164472203,0.130955502827226,0.831688312299541,-0.0339365190987533,0.159464200016576,0.831628222277767
"EHS All","Subsample (Black, mother <=HS)",NA,NA,NA,348,0.142709759188846,0.0915193310191637,0.119830082928766,0.218063283664445,0.139785541041276,0.11967769701544
"EHS All","Complement of subsample",NA,NA,NA,919,0.0423124256807011,0.0688300363073426,0.538880388985957,0.0501914327260267,0.0816208595190832,0.538750939289952
"EHS All","White",NA,NA,NA,569,-0.00991684155676623,0.0832462527855068,0.905217264965579,-0.0115092803141919,0.0966200666880293,0.905223313351985
"EHS Center+Mixed","",NA,NA,NA,768,0.123288602841152,0.0732159896826092,0.0926078870193603,0.171894787249079,0.101826108358032,0.0917950580739909
"EHS Center+Mixed","",NA,NA,1,331,0.241161128931791,0.0916872062834766,0.00893311776770377,0.392809939313901,0.148171692579391,0.00841249065809196
"EHS Center+Mixed","",NA,NA,0,433,0.0584625126316877,0.103228720877513,0.571457714381908,0.0728563026884748,0.128608247279775,0.571350222221036
"EHS Center+Mixed","",NA,1,NA,93,0.347651076881033,0.225484077244276,0.126592901692859,0.454471240168502,0.292810692154332,0.124109550046279
"EHS Center+Mixed","",NA,0,NA,675,0.0905522550028927,0.0774021156531933,0.242457843845474,0.127560567917119,0.108831098754777,0.24157299441016
"EHS Center+Mixed","",1,NA,NA,444,0.111435884277467,0.097993285764927,0.256079660825623,0.144973691406776,0.127279662154358,0.255313019289058
"EHS Center+Mixed","",0,NA,NA,324,0.121459799524798,0.105613806920663,0.250981974654338,0.188960688526714,0.164280814336004,0.250902747725792
"EHS Center+Mixed","",NA,1,1,38,0.434619429295361,0.319355385002263,0.181995927786294,0.688830793600196,0.500423005549722,0.177169445740798
"EHS Center+Mixed","",NA,1,0,54,0.316552926289538,0.320673693626558,0.328140423596064,0.37610248668064,0.379099044082152,0.325745110752929
"EHS Center+Mixed","",NA,0,1,293,0.202699828555463,0.0948979488412997,0.0335157182852578,0.333307153945173,0.154992046724423,0.0323409484816064
"EHS Center+Mixed","",NA,0,0,379,0.0241531713189524,0.10894855615305,0.824672635106105,0.0303107896514297,0.13671426745101,0.824660431945344
"EHS Center+Mixed","",1,NA,1,169,0.251437177413329,0.13408704613991,0.0625138649762052,0.372558238916344,0.196569536949749,0.0597803653433534
"EHS Center+Mixed","",1,NA,0,274,0.0529785634231653,0.127769482628974,0.678731000324256,0.0642497219021551,0.154931237307809,0.678689650431428
"EHS Center+Mixed","",0,NA,1,162,0.215543927431436,0.123773141541655,0.0835278698535127,0.39625247265173,0.22776043920488,0.0838210427707768
"EHS Center+Mixed","",0,NA,0,159,0.0514563842166804,0.168297971446762,0.760203282493566,0.0676027106427508,0.221258399655953,0.760361633264688
"EHS Center+Mixed","",1,1,NA,66,0.501029163897037,0.302711806222756,0.102793137910342,0.681107285138546,0.413393056622797,0.104335894837664
"EHS Center+Mixed","",1,0,NA,378,0.047445791146357,0.102804526661074,0.644696318818578,0.0614587341484954,0.133035120431633,0.644367321205641
"EHS Center+Mixed","",0,1,NA,27,-0.101356255559949,0.25384224658326,0.693071334618374,-0.130828641928445,0.334687118903984,0.69918381301392
"EHS Center+Mixed","",0,0,NA,297,0.143093083989365,0.112961193004518,0.206245517364286,0.22699869583733,0.179438737471385,0.206852335150983
"EHS Center+Mixed","",1,1,1,25,0.863423521816731,0.406973833484029,0.0448637731496655,1.36330029760536,0.69680604651405,0.0626553332971134
"EHS Center+Mixed","",1,1,0,40,0.247916732269984,0.437667866415953,0.574418834150726,0.315530386525434,0.555360386862166,0.573272426235993
"EHS Center+Mixed","",1,0,1,144,0.139914834619152,0.13915521529187,0.316386247417967,0.205568719819556,0.202316331116697,0.311321415917523
"EHS Center+Mixed","",1,0,0,234,0.0367015697353432,0.131827243971718,0.780948260601912,0.0443320761151933,0.159230689332094,0.780942447778181
"EHS Center+Mixed","",0,1,1,13,NA,NA,NA,NA,NA,NA
"EHS Center+Mixed","",0,1,0,14,NA,NA,NA,NA,NA,NA
"EHS Center+Mixed","",0,0,1,149,0.247000161708492,0.128831042149828,0.0571470712825154,0.465642288546919,0.245926969095534,0.0602675310897571
