"variable","coefficient.x","se.x","p_value.x","N.x","coefficient.y","se.y","p_value.y","N.y","coefficient.x.x","se.x.x","p_value.x.x","N.x.x","coefficient.y.y","se.y.y","p_value.y.y","N.y.y","coefficient.x.x.x","se.x.x.x","p_value.x.x.x","N.x.x.x","coefficient.y.y.y","se.y.y.y","p_value.y.y.y","N.y.y.y","coefficient.x.x.x.x","se.x.x.x.x","p_value.x.x.x.x","N.x.x.x.x","coefficient.y.y.y.y","se.y.y.y.y","p_value.y.y.y.y","N.y.y.y.y","coefficient.x.x.x.x.x","se.x.x.x.x.x","p_value.x.x.x.x.x","N.x.x.x.x.x","coefficient.y.y.y.y.y","se.y.y.y.y.y","p_value.y.y.y.y.y","N.y.y.y.y.y","coefficient.x.x.x.x.x.x","se.x.x.x.x.x.x","p_value.x.x.x.x.x.x","N.x.x.x.x.x.x","coefficient.y.y.y.y.y.y","se.y.y.y.y.y.y","p_value.y.y.y.y.y.y","N.y.y.y.y.y.y","coefficient.x.x.x.x.x.x.x","se.x.x.x.x.x.x.x","p_value.x.x.x.x.x.x.x","N.x.x.x.x.x.x.x","coefficient.y.y.y.y.y.y.y","se.y.y.y.y.y.y.y","p_value.y.y.y.y.y.y.y","N.y.y.y.y.y.y.y","coefficient.x.x.x.x.x.x.x.x","se.x.x.x.x.x.x.x.x","p_value.x.x.x.x.x.x.x.x","N.x.x.x.x.x.x.x.x","coefficient.y.y.y.y.y.y.y.y","se.y.y.y.y.y.y.y.y","p_value.y.y.y.y.y.y.y.y","N.y.y.y.y.y.y.y.y","coefficient.x.x.x.x.x.x.x.x.x","se.x.x.x.x.x.x.x.x.x","p_value.x.x.x.x.x.x.x.x.x","N.x.x.x.x.x.x.x.x.x","coefficient.y.y.y.y.y.y.y.y.y","se.y.y.y.y.y.y.y.y.y","p_value.y.y.y.y.y.y.y.y.y","N.y.y.y.y.y.y.y.y.y","coefficient.x.x.x.x.x.x.x.x.x.x","se.x.x.x.x.x.x.x.x.x.x","p_value.x.x.x.x.x.x.x.x.x.x","N.x.x.x.x.x.x.x.x.x.x","coefficient.y.y.y.y.y.y.y.y.y.y","se.y.y.y.y.y.y.y.y.y.y","p_value.y.y.y.y.y.y.y.y.y.y","N.y.y.y.y.y.y.y.y.y.y","coefficient.x.x.x.x.x.x.x.x.x.x.x","se.x.x.x.x.x.x.x.x.x.x.x","p_value.x.x.x.x.x.x.x.x.x.x.x","N.x.x.x.x.x.x.x.x.x.x.x","coefficient.y.y.y.y.y.y.y.y.y.y.y","se.y.y.y.y.y.y.y.y.y.y.y","p_value.y.y.y.y.y.y.y.y.y.y.y","N.y.y.y.y.y.y.y.y.y.y.y","coefficient.x.x.x.x.x.x.x.x.x.x.x.x","se.x.x.x.x.x.x.x.x.x.x.x.x","p_value.x.x.x.x.x.x.x.x.x.x.x.x","N.x.x.x.x.x.x.x.x.x.x.x.x","coefficient.y.y.y.y.y.y.y.y.y.y.y.y","se.y.y.y.y.y.y.y.y.y.y.y.y","p_value.y.y.y.y.y.y.y.y.y.y.y.y","N.y.y.y.y.y.y.y.y.y.y.y.y"
"R",0.136287388653161,0.0672853832862832,0.0431610182374122,777,0.13382232546759,0.0689650387873049,0.0526898748132319,777,NA,NA,NA,NA,NA,NA,NA,NA,0.241719156031847,0.100072426607638,0.0164836100678601,242,0.257251152404854,0.100807911439334,0.0113401966652724,242,NA,NA,NA,NA,NA,NA,NA,NA,0.177418224526784,0.0944512747994203,0.0611285843506025,373,0.179679517189109,0.0953087221360139,0.0601833313449831,373,NA,NA,NA,NA,NA,NA,NA,NA,0.51360140878193,0.144703615570823,0.000587924097830582,109,0.520193951891325,0.142327087969758,0.000403617681636891,109,NA,NA,NA,NA,NA,NA,NA,NA,1.04173577937913,0.182870194651254,1.45478941290774e-07,103,0.968003397201768,0.17359953444747,2.13549824861587e-07,103,NA,NA,NA,NA,NA,NA,NA,NA,0.957315071162565,0.185486714728753,1.45497316446073e-06,98,0.940781643911623,0.178051044054704,8.1654634762433e-07,98,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,0.326674189609526,0.161734373422172,0.0437498474977199,777,0.319034831172759,0.164401802555392,0.0526725174982824,777,NA,NA,NA,NA,NA,NA,NA,NA,0.680943634242772,0.288871513319277,0.0192352552695389,242,0.717359113864801,0.287071823288573,0.0131337832157593,242,NA,NA,NA,NA,NA,NA,NA,NA,0.30216561200176,0.159118340798567,0.0583593940553382,373,0.301907299336241,0.158112757744505,0.0569802294266913,373,NA,NA,NA,NA,NA,NA,NA,NA,1.12574534734715,0.329663457597464,0.000920202762799892,109,1.08957151086225,0.306299039697067,0.000563967611195728,109,NA,NA,NA,NA,NA,NA,NA,NA,1.18769340232736,0.201809561980355,6.39000114524798e-08,103,1.09579744711364,0.191262161915027,1.0886001416565e-07,103,NA,NA,NA,NA,NA,NA,NA,NA,1.08333250266413,0.204392800639086,8.17152049341696e-07,98,1.07458082011344,0.19826272629364,4.58687103264918e-07,98
"m_iq",0.0239188949566042,0.00412032358520525,9.41943280665476e-09,777,0.0345956152058092,0.00372739135826242,1.64756127419227e-19,777,0.0232109084784852,0.00414030256549262,2.88913627592107e-08,777,0.0333452002423914,0.00377340716043972,6.55733877001304e-18,777,0.0191353549310204,0.00667620681716594,0.00453279077015156,242,0.0194884332719269,0.0066805965275525,0.00387010773123408,242,0.0189138934128028,0.00683605391396471,0.00611357855451896,242,0.0190833090520572,0.00681379490769003,0.00551837358447829,242,0.0225331779139896,0.00620137389128862,0.000319925542437515,373,0.0350720263120678,0.00541359885219961,2.96493216879913e-10,373,0.020425855243513,0.00623117379344341,0.00114665492190762,373,0.0320256582111203,0.00558097769043467,1.99536000733727e-08,373,0.0221658384695406,0.00942689249679577,0.0206472804865937,109,0.0236736988174487,0.00924469787108897,0.0118649756326075,109,0.0168347666194922,0.00968669924875268,0.0852717010368377,109,0.0181747103419974,0.00938761745287217,0.0555526846627627,109,0.0264368697762689,0.00862483404148443,0.00285487377428104,103,0.024632848423695,0.00753335611128074,0.00148088839241206,103,0.0307251357198871,0.0084272316715768,0.00044110611397575,103,0.0274275629730713,0.00733441077829218,0.000308891156975901,103,0.0204143648559894,0.0085152610731211,0.0185792477775503,98,0.020500525740801,0.00813387736481095,0.0134078197136361,98,0.0237952627196031,0.00831191137647434,0.00522320129156276,98,0.0239278311054659,0.00795992455967634,0.0033941228772012,98
"black",-0.369257560542603,0.0743031279916739,8.28069139838613e-07,777,NA,NA,NA,NA,-0.369555674013854,0.0745122611625021,8.7022038665797e-07,777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34484921589012,0.10450412185105,0.0010634182491823,373,NA,NA,NA,NA,-0.343541498530308,0.103351651755441,0.000977997260775618,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.433564155590343,0.721644129332967,0.549450187924244,103,NA,NA,NA,NA,-0.256796350266476,0.704596923250404,0.716352012620572,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sex",-0.169963794442397,0.0674849897333561,0.0119868228527694,777,NA,NA,NA,NA,-0.157467733159696,0.0678619386012208,0.0205803630845118,777,NA,NA,NA,NA,-0.268128864659892,0.10087530365368,0.00840205797650871,242,NA,NA,NA,NA,-0.210428464108845,0.107198133280641,0.0508324315897194,242,NA,NA,NA,NA,-0.0739096090564056,0.094284292201629,0.433610449488382,373,NA,NA,NA,NA,-0.0630568127542018,0.0933468635697539,0.499782574263157,373,NA,NA,NA,NA,-0.189057865027324,0.143998326427339,0.192186182173235,109,NA,NA,NA,NA,-0.110154355932857,0.151465015641089,0.468749487213542,109,NA,NA,NA,NA,-0.0521122911865117,0.183974222427819,0.777614975015235,103,NA,NA,NA,NA,-0.175918963157496,0.17943501434911,0.329457465527684,103,NA,NA,NA,NA,0.00677617687758773,0.189289088811115,0.971522681947206,98,NA,NA,NA,NA,-0.0994862363201492,0.184515600799443,0.591097305316424,98,NA,NA,NA,NA
"m_age",0.000748453929828556,0.00665625847026546,0.910501114671224,777,0.0069397708701039,0.00616900691076314,0.260963071395254,777,-4.37396649438329e-05,0.00669072277542399,0.994785680488741,777,0.00531346992337679,0.00624580905499936,0.395185213665554,777,0.00685441629279528,0.00992618908112146,0.490539942973322,242,0.00557715007455331,0.00948363075789802,0.557035035320344,242,-0.00254769879105175,0.0107883055074812,0.813519941078031,242,-0.00278608691877718,0.0101497873843582,0.783940767843715,242,-0.0049062803207082,0.00867325344184158,0.57196223222805,373,0.000165119944128989,0.00815232933645798,0.983851437532367,373,-0.00686700881483758,0.0086132046052292,0.425819606795791,373,-0.00309407486732142,0.00822329310104887,0.706941786571663,373,-0.00145581391666579,0.0117244767688515,0.901428429367043,109,0.000168824085945563,0.0111151020350496,0.987910449918545,109,-0.0166121894558345,0.0125122082716702,0.187277327964832,109,-0.0175292844829552,0.011950879605278,0.145425259856554,109,0.0222995193695607,0.0306623625110843,0.468913160124049,103,0.0189260253764766,0.0178073479091077,0.290448751312353,103,0.0414125247704867,0.0298255277631721,0.168339793358594,103,0.0216703085160097,0.0173791175804952,0.215370102494582,103,0.00411506917652197,0.0304122744208022,0.89266935551462,98,0.0132922470716533,0.0181932396110089,0.466831701469102,98,0.0199465114108537,0.0295810473881123,0.501848706406068,98,0.0163517516715204,0.0177897682103651,0.360361370752542,98
"m_edu_2",0.0212658729520911,0.0871493596709815,0.807283459857917,777,NA,NA,NA,NA,0.00284375355571313,0.0879146110748771,0.97420393930371,777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11244839419026,0.117664970295501,0.339878827808683,373,NA,NA,NA,NA,0.0835470751301597,0.11749000332149,0.477480545801876,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.477205996943892,0.218965498156575,0.0318583813934534,103,NA,NA,NA,NA,-0.531818931750993,0.213977944113749,0.0147473404742705,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m_edu_3",0.278682732687683,0.0981258618120325,0.00463018023368141,777,NA,NA,NA,NA,0.23746009672621,0.101280134808336,0.0193026607314633,777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363682469318356,0.1337812407504,0.00687375991253045,373,NA,NA,NA,NA,0.314097925668119,0.136246752072005,0.0217112349372839,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163848685767758,0.500674685515436,0.744217897152291,103,NA,NA,NA,NA,0.0927066611740772,0.484702088983461,0.848739270665423,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sibling",-0.0317503336628244,0.0312753925115078,0.310337821735258,777,NA,NA,NA,NA,-0.0315238416948813,0.0313585722020579,0.315084150983314,777,NA,NA,NA,NA,-0.0109497543484951,0.0415865751720429,0.792550891013936,242,NA,NA,NA,NA,-0.0132478976449999,0.0426346550969214,0.756281936598888,242,NA,NA,NA,NA,-0.0254997844837135,0.0520543009706919,0.624523388942324,373,NA,NA,NA,NA,-0.038089205556499,0.0522795891852035,0.466737358691461,373,NA,NA,NA,NA,0.0525403425484416,0.0852353085574344,0.539007388140045,109,NA,NA,NA,NA,-0.0666603302316735,0.0986114391880377,0.500592069010643,109,NA,NA,NA,NA,-0.025169339354246,0.138208200609564,0.85589568503801,103,NA,NA,NA,NA,-0.11235659670873,0.133929834919856,0.40368798636818,103,NA,NA,NA,NA,0.0547562825618448,0.137727844212507,0.691889501387275,98,NA,NA,NA,NA,-0.0175722896511557,0.133633924694318,0.895676677575967,98,NA,NA,NA,NA
"gestage",0.0594521518357622,0.0180383901360921,0.00102635233843584,777,NA,NA,NA,NA,0.0552223887991662,0.0181971457880431,0.00248941906533241,777,NA,NA,NA,NA,0.0388375474057658,0.0275375858724262,0.159765184644444,242,NA,NA,NA,NA,0.0240559448814994,0.0290820152981372,0.408980035133666,242,NA,NA,NA,NA,0.0271391263341192,0.0266939687514486,0.309986431607261,373,NA,NA,NA,NA,0.0248687541619449,0.0264717878709052,0.348129398377577,373,NA,NA,NA,NA,0.00427181310157748,0.0429979463105873,0.921057910798184,109,NA,NA,NA,NA,-0.0194000401996346,0.045608601250206,0.671479750721265,109,NA,NA,NA,NA,0.0208327938332858,0.0364144367417907,0.568647789614254,103,NA,NA,NA,NA,0.0180111475676034,0.0351734627019943,0.609831618881497,103,NA,NA,NA,NA,0.0162738895988081,0.0372135341442732,0.662933359302447,98,NA,NA,NA,NA,0.0127183770434118,0.0361482351553799,0.725781089059624,98,NA,NA,NA,NA
