"participation","program","subsample","method","covariates","variable","coefficient","se","p_value","F_stat","N"
"12m","ehs-full",FALSE,"ITT","none","Constant",-0.0300104754275506,0.0413007130815069,0.467585027151979,NA,1267
"12m","ehs-full",FALSE,"ITT","none","R",0.0728218240002759,0.05675244773858,0.199675044976956,NA,1267
"12m","ehs-full",FALSE,"ITT","all","Constant",-3.98691298866376,0.64376555662575,7.97914576750529e-10,NA,1267
"12m","ehs-full",FALSE,"ITT","all","R",0.0788799491663504,0.0523619493603291,0.132206819712359,NA,1267
"12m","ehs-full",FALSE,"ITT","all","m_iq",0.0252871503762175,0.00306332695697142,3.81441450419483e-16,NA,1267
"12m","ehs-full",FALSE,"ITT","all","black",-0.182955638112582,0.0582335789188179,0.00171866105727156,NA,1267
"12m","ehs-full",FALSE,"ITT","all","sex",-0.18812158750371,0.0523845665948158,0.00034191927959115,NA,1267
"12m","ehs-full",FALSE,"ITT","all","m_age",-0.000943242999855914,0.0052527364147836,0.857517782412573,NA,1267
"12m","ehs-full",FALSE,"ITT","all","m_edu_2",0.0710446198576669,0.0672081686881293,0.29067709115582,NA,1267
"12m","ehs-full",FALSE,"ITT","all","m_edu_3",0.36069794921445,0.0769911532324401,3.10562426517589e-06,NA,1267
"12m","ehs-full",FALSE,"ITT","all","sibling",-0.0459759032195499,0.025021931769562,0.0663835992671304,NA,1267
"12m","ehs-full",FALSE,"ITT","all","gestage",0.0446640428206258,0.0145634102904444,0.00220942169843575,NA,1267
"12m","ehs-full",FALSE,"ITT","all","mf",0.0776300790912926,0.0686990100420589,0.258690931269202,NA,1267
"12m","ehs-full",FALSE,"ITT","all","poverty",-0.0705148245760847,0.0837631994687562,0.400040490851831,NA,1267
"12m","ehs-full",FALSE,"ITT","short","Constant",-3.28857759062779,0.257763631720719,3.74839816550431e-35,NA,1267
"12m","ehs-full",FALSE,"ITT","short","R",0.0736185698971876,0.0534087265023392,0.168324041831471,NA,1267
"12m","ehs-full",FALSE,"ITT","short","m_iq",0.0339987377445605,0.0027863228506977,1.87894970724332e-32,NA,1267
"12m","ehs-full",FALSE,"ITT","short","m_age",0.00803817489230403,0.0048854595480234,0.100151370662796,NA,1267
"12m","ehs-full",FALSE,"LATE","none","Constant",-0.037155716252308,0.0455718359658837,0.415041549468602,174.683432461994,1267
"12m","ehs-full",FALSE,"LATE","none","D",0.283904235437022,0.221538817845231,0.200249396348377,174.683432461994,1267
"12m","ehs-full",FALSE,"LATE","all","Constant",-3.88778028075183,0.646138538440788,2.32887192098618e-09,172.324550198687,1267
"12m","ehs-full",FALSE,"LATE","all","D",0.311915113984261,0.208058412301047,0.13408080048029,172.324550198687,1267
"12m","ehs-full",FALSE,"LATE","all","m_iq",0.0256808136241752,0.00308999389927121,2.43876084531648e-16,172.324550198687,1267
"12m","ehs-full",FALSE,"LATE","all","black",-0.18615625169805,0.0585954658160661,0.00152448047037533,172.324550198687,1267
"12m","ehs-full",FALSE,"LATE","all","sex",-0.181164084356592,0.0528391114756331,0.000626374354748922,172.324550198687,1267
"12m","ehs-full",FALSE,"LATE","all","m_age",-0.00181667355816545,0.0053086554851172,0.732250362555306,172.324550198687,1267
"12m","ehs-full",FALSE,"LATE","all","m_edu_2",0.0605921338878423,0.0680581470804488,0.373475727254057,172.324550198687,1267
"12m","ehs-full",FALSE,"LATE","all","m_edu_3",0.326663933179414,0.0812339176428238,6.13353371203201e-05,172.324550198687,1267
"12m","ehs-full",FALSE,"LATE","all","sibling",-0.0495150227228312,0.0252625918417963,0.0502152172845367,172.324550198687,1267
"12m","ehs-full",FALSE,"LATE","all","gestage",0.0418349841894265,0.0147133230995702,0.00453670502226488,172.324550198687,1267
"12m","ehs-full",FALSE,"LATE","all","mf",0.0910641603901603,0.0699279974313224,0.193067796481147,172.324550198687,1267
"12m","ehs-full",FALSE,"LATE","all","poverty",-0.0856164365578771,0.085028407188349,0.31416939079956,172.324550198687,1267
"12m","ehs-full",FALSE,"LATE","short","Constant",-3.26670989153362,0.257097659471804,6.76491367545976e-35,175.265527695159,1267
"12m","ehs-full",FALSE,"LATE","short","D",0.287275587615336,0.208899996235481,0.16931879324206,175.265527695159,1267
"12m","ehs-full",FALSE,"LATE","short","m_iq",0.0340360606948049,0.00279304333345867,2.23981034445927e-32,175.265527695159,1267
"12m","ehs-full",FALSE,"LATE","short","m_age",0.00656380957640456,0.00501757277141966,0.191055612838049,175.265527695159,1267
"12m","ehs-full",TRUE,"ITT","none","Constant",-0.354575120863233,0.0661848987649555,1.54424702619459e-07,NA,348
"12m","ehs-full",TRUE,"ITT","none","R",0.142709759188846,0.0915193310191637,0.119830082928766,NA,348
"12m","ehs-full",TRUE,"ITT","all","Constant",-3.31964290375266,1.1879783545936,0.00549602726186462,NA,348
"12m","ehs-full",TRUE,"ITT","all","R",0.134639845639174,0.0900250560071258,0.135692966341818,NA,348
"12m","ehs-full",TRUE,"ITT","all","m_iq",0.0225673680732418,0.00589510889380791,0.000153746825574813,NA,348
"12m","ehs-full",TRUE,"ITT","all","sex",-0.185210544345195,0.0906061881061667,0.0417133223015743,NA,348
"12m","ehs-full",TRUE,"ITT","all","m_age",0.00172003371309725,0.00893817696965375,0.847515336144922,NA,348
"12m","ehs-full",TRUE,"ITT","all","sibling",-0.0479709697379826,0.0387279584499617,0.216326553954288,NA,348
"12m","ehs-full",TRUE,"ITT","all","gestage",0.029456605782015,0.0261614783243071,0.260981703222689,NA,348
"12m","ehs-full",TRUE,"ITT","all","mf",-0.0861264497273954,0.199357629803883,0.666001654207381,NA,348
