"participation","program","subsample","method","covariates","variable","coefficient","se","p_value","F_stat","N"
"any","ehs-full",FALSE,"ITT","none","Constant",-0.0300104754275506,0.0413007130815069,0.467585027151979,NA,1267
"any","ehs-full",FALSE,"ITT","none","R",0.0728218240002759,0.05675244773858,0.199675044976956,NA,1267
"any","ehs-full",FALSE,"ITT","all","Constant",-3.98691298866376,0.64376555662575,7.97914576750529e-10,NA,1267
"any","ehs-full",FALSE,"ITT","all","R",0.0788799491663504,0.0523619493603291,0.132206819712359,NA,1267
"any","ehs-full",FALSE,"ITT","all","m_iq",0.0252871503762175,0.00306332695697142,3.81441450419483e-16,NA,1267
"any","ehs-full",FALSE,"ITT","all","black",-0.182955638112582,0.0582335789188179,0.00171866105727156,NA,1267
"any","ehs-full",FALSE,"ITT","all","sex",-0.18812158750371,0.0523845665948158,0.00034191927959115,NA,1267
"any","ehs-full",FALSE,"ITT","all","m_age",-0.000943242999855914,0.0052527364147836,0.857517782412573,NA,1267
"any","ehs-full",FALSE,"ITT","all","m_edu_2",0.0710446198576669,0.0672081686881293,0.29067709115582,NA,1267
"any","ehs-full",FALSE,"ITT","all","m_edu_3",0.36069794921445,0.0769911532324401,3.10562426517589e-06,NA,1267
"any","ehs-full",FALSE,"ITT","all","sibling",-0.0459759032195499,0.025021931769562,0.0663835992671304,NA,1267
"any","ehs-full",FALSE,"ITT","all","gestage",0.0446640428206258,0.0145634102904444,0.00220942169843575,NA,1267
"any","ehs-full",FALSE,"ITT","all","mf",0.0776300790912926,0.0686990100420589,0.258690931269202,NA,1267
"any","ehs-full",FALSE,"ITT","all","poverty",-0.0705148245760847,0.0837631994687562,0.400040490851831,NA,1267
"any","ehs-full",FALSE,"ITT","short","Constant",-3.28857759062779,0.257763631720719,3.74839816550431e-35,NA,1267
"any","ehs-full",FALSE,"ITT","short","R",0.0736185698971876,0.0534087265023392,0.168324041831471,NA,1267
"any","ehs-full",FALSE,"ITT","short","m_iq",0.0339987377445605,0.0027863228506977,1.87894970724332e-32,NA,1267
"any","ehs-full",FALSE,"ITT","short","m_age",0.00803817489230403,0.0048854595480234,0.100151370662796,NA,1267
"any","ehs-full",FALSE,"LATE","none","Constant",-0.0416855016252003,0.0484577316762964,0.389817231621355,183.59508420839,1267
"any","ehs-full",FALSE,"LATE","none","D",0.257715393103673,0.20139032096347,0.20089194857521,183.59508420839,1267
"any","ehs-full",FALSE,"LATE","all","Constant",-3.90986322107299,0.646312116348569,1.91467310361387e-09,180.225645022823,1267
"any","ehs-full",FALSE,"LATE","all","D",0.282689448608116,0.188737044112084,0.134437916891185,180.225645022823,1267
"any","ehs-full",FALSE,"LATE","all","m_iq",0.0254016787869523,0.00308213614601865,4.23624216538896e-16,180.225645022823,1267
"any","ehs-full",FALSE,"LATE","all","black",-0.188989979564329,0.0587846566451797,0.00133789113227019,180.225645022823,1267
"any","ehs-full",FALSE,"LATE","all","sex",-0.186172996731253,0.0527018575265598,0.000426475521983121,180.225645022823,1267
"any","ehs-full",FALSE,"LATE","all","m_age",-0.00206376296613682,0.00533370694870847,0.698874777003397,180.225645022823,1267
"any","ehs-full",FALSE,"LATE","all","m_edu_2",0.0647585598895937,0.0678259670222963,0.339875191933972,180.225645022823,1267
"any","ehs-full",FALSE,"LATE","all","m_edu_3",0.337396901445562,0.079408441198717,2.30722433583481e-05,180.225645022823,1267
"any","ehs-full",FALSE,"LATE","all","sibling",-0.0490594425129751,0.025258049403218,0.0523207507989091,180.225645022823,1267
"any","ehs-full",FALSE,"LATE","all","gestage",0.0429892782103293,0.0146651391484591,0.00343560069776191,180.225645022823,1267
"any","ehs-full",FALSE,"LATE","all","mf",0.0921577019785539,0.0701152394059785,0.18896027672706,180.225645022823,1267
"any","ehs-full",FALSE,"LATE","all","poverty",-0.0759962215235747,0.0844205309365769,0.36818111087695,180.225645022823,1267
"any","ehs-full",FALSE,"LATE","short","Constant",-3.26885346846237,0.257627168789323,8.27586348001739e-35,184.207117678905,1267
"any","ehs-full",FALSE,"LATE","short","D",0.260761059896054,0.189949793684016,0.170061528540844,184.207117678905,1267
"any","ehs-full",FALSE,"LATE","short","m_iq",0.0339944743659452,0.0027977036234574,3.29340831333141e-32,184.207117678905,1267
"any","ehs-full",FALSE,"LATE","short","m_age",0.00662417461699597,0.00501691453545304,0.186951322660667,184.207117678905,1267
"any","ehs-full",TRUE,"ITT","none","Constant",-0.354575120863233,0.0661848987649555,1.54424702619459e-07,NA,348
"any","ehs-full",TRUE,"ITT","none","R",0.142709759188846,0.0915193310191637,0.119830082928766,NA,348
"any","ehs-full",TRUE,"ITT","all","Constant",-3.31964290375266,1.1879783545936,0.00549602726186462,NA,348
"any","ehs-full",TRUE,"ITT","all","R",0.134639845639174,0.0900250560071258,0.135692966341818,NA,348
"any","ehs-full",TRUE,"ITT","all","m_iq",0.0225673680732418,0.00589510889380791,0.000153746825574813,NA,348
"any","ehs-full",TRUE,"ITT","all","sex",-0.185210544345195,0.0906061881061667,0.0417133223015743,NA,348
"any","ehs-full",TRUE,"ITT","all","m_age",0.00172003371309725,0.00893817696965375,0.847515336144922,NA,348
"any","ehs-full",TRUE,"ITT","all","sibling",-0.0479709697379826,0.0387279584499617,0.216326553954288,NA,348
"any","ehs-full",TRUE,"ITT","all","gestage",0.029456605782015,0.0261614783243071,0.260981703222689,NA,348
"any","ehs-full",TRUE,"ITT","all","mf",-0.0861264497273954,0.199357629803883,0.666001654207381,NA,348
"any","ehs-full",TRUE,"ITT","all","poverty",-0.0435462409246155,0.172443877661289,0.80078900537544,NA,348
"any","ehs-full",TRUE,"ITT","short","Constant",-2.3162673352239,0.526144098671878,1.4311860670675e-05,NA,348
"any","ehs-full",TRUE,"ITT","short","R",0.143769910135346,0.0898155016072598,0.11035577773892,NA,348
"any","ehs-full",TRUE,"ITT","short","m_iq",0.023214270437278,0.00586150237222332,9.09432186204083e-05,NA,348
"any","ehs-full",TRUE,"ITT","short","m_age",-0.000819933687243672,0.00846076536368242,0.922854216774089,NA,348
"any","ehs-full",TRUE,"LATE","none","Constant",-0.396444829899831,0.0908029510455649,1.6737021619864e-05,36.0046932842787,348
"any","ehs-full",TRUE,"LATE","none","D",0.579197641672946,0.385068534049105,0.133457114722608,36.0046932842787,348
"any","ehs-full",TRUE,"LATE","all","Constant",-3.12812468727327,1.23567333271544,0.0118084810182078,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","D",0.553471825119127,0.383097591743068,0.149457951791247,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","m_iq",0.0235694880931026,0.00614549907917001,0.00014955684586695,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","sex",-0.157968945753718,0.0962088824521974,0.101530310504704,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","m_age",-0.00323320392077158,0.00973297989875429,0.739950681534844,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","sibling",-0.0534684133104784,0.040200358643863,0.184396540272529,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","gestage",0.0237939125526641,0.0275398941508004,0.388209872065714,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","mf",-0.0259271762317918,0.209419909644152,0.901543255824813,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","poverty",-0.112961966203763,0.18821434046279,0.548789095701734,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","short","Constant",-2.35273093793622,0.548049275906223,2.2960336171612e-05,36.9057907340222,348
"any","ehs-full",TRUE,"LATE","short","D",0.577468990389201,0.373764318387298,0.123263665480965,36.9057907340222,348
"any","ehs-full",TRUE,"LATE","short","m_iq",0.0241535506942703,0.00610471586547525,9.23830899536991e-05,36.9057907340222,348
"any","ehs-full",TRUE,"LATE","short","m_age",-0.00499229458469058,0.00908258370148592,0.58291215510938,36.9057907340222,348
"any","ehsmixed_center",FALSE,"ITT","none","Constant",-0.1534844077224,0.0531683078844075,0.00400178620526185,NA,768
"any","ehsmixed_center",FALSE,"ITT","none","R",0.123288602841151,0.0732159896826093,0.0926078870193629,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","Constant",-4.60245171312526,0.813897291731209,2.21229574007518e-08,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","R",0.131665998828375,0.0671654202374601,0.050324802298471,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","m_iq",0.0248464658998218,0.00408783445403549,1.92730726635664e-09,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","black",-0.380467330165984,0.0736313485391662,3.0434997494892e-07,NA,768
